ID;Nom;Description;Quantite
1;Resistance 4k7;Resistance 1/4W de 4,7k Ohm;2345
2;Condensateur .1uF;Condensateur through hole ,1 micro farad;456
3;Interrupteur a glissiere;Interrupteur a glissiere SPST pour plaquette de montage;115
4;Bouton poussoir;Bouton poussoir SPDT pour plaquette de montage;300
5;Bobine 1uH;Bobine 1 micro Henri pour plaquette de montage;56
6;Resistance SMD 4k7;Resistance SMD de 4,7k Ohm;10000
7;Condensateur SMD .1uF;Condensateur SMD de 0,1uF;548
8;Arduino Uno;Arduino Uno standard;25
9;Bloc alimentation 5V Rpi;Bloc d'alimentation micro USB de 5V 2A pour Raspberry Pi 3;32
10;Manette;Manette de jeu pour projet finaux;2
